,symbol,year,Open,High,Low,Close,Volume
0,A,2015,32.53279220737653,39.26357074836983,30.612262145657986,38.64430236816406,234053400.0
1,A,2016,38.05487376057816,45.32037994394461,31.65060825238658,42.56479263305664,524933400.0
2,A,2017,43.03470397814769,66.90964950540801,42.85668232340465,63.17411804199219,464585300.0
3,A,2018,63.73941327316024,71.49099858515416,57.24905786999511,64.2095947265625,650604400.0
4,A,2019,63.45238259811923,82.27748943071597,59.15861234711868,81.92218017578125,543573000.0
5,A,2020,82.66295396467588,116.45653899691784,58.82637755349022,114.76160430908203,468519400.0
6,A,2021,115.19744018822482,174.69928232967757,109.10967484128945,155.51304626464844,409072400.0
7,A,2022,154.87986825659473,157.1069577925407,109.92095403524458,146.70570373535156,427282800.0
8,A,2023,149.1924472422973,156.68347629038638,95.37363523839365,137.25755310058594,461257500.0
9,A,2024,136.65899777854807,153.87847488985443,122.98390698122459,133.5266571044922,431758700.0
10,A,2025,134.63981077346327,153.19123561732317,96.02334004941162,125.66000366210938,323907493.0
11,AAPL,2015,24.753524171134902,27.82552169879709,23.656567751012776,23.755870819091797,15966460800.0
12,AAPL,2016,23.15780012839032,27.24296251839779,20.30182969134122,26.720701217651367,38729911200.0
13,AAPL,2017,26.716086004786096,41.539026539713426,26.476148585338304,39.67070770263672,27243106000.0
14,AAPL,2018,39.88871873189374,55.35829521772487,34.87937624064487,37.53239059448242,34156144800.0
15,AAPL,2019,36.85425612702183,70.9976580264781,33.78723216901795,70.92037200927734,28254942800.0
16,AAPL,2020,71.54588492984767,135.23644090519628,51.47000972132964,129.29263305664062,39863855600.0
17,AAPL,2021,130.10136960260755,178.56079937583524,113.40376166595999,174.0901641845703,22812206100.0
18,AAPL,2022,174.3450598960799,179.35491961214254,124.11951951924283,128.123046875,22065504500.0
19,AAPL,2023,128.46819787308942,197.9441241613239,122.44316889880238,190.9136505126953,14805886900.0
20,AAPL,2024,185.57882656840204,259.17993037902727,162.9101170933881,249.53416442871094,14390908500.0
21,AAPL,2025,248.04944675902723,249.11565082105585,168.7968355943887,232.13999938964844,9418548437.0
22,ABBV,2015,40.167069788768416,42.73080511397968,29.927764308235027,39.3681640625,826789300.0
23,ABBV,2016,38.5840029690882,46.58986530042441,33.6995299510591,43.22309494018555,2020549900.0
24,ABBV,2017,43.430164620209744,70.89918724678084,40.910774822480114,69.1893081665039,1503613200.0
25,ABBV,2018,69.49694685375171,90.04412011930542,57.174794102718536,68.52751922607422,1777750200.0
26,ABBV,2019,67.82136087615987,72.24305225674878,48.50191299266902,69.53364562988281,1972901200.0
27,ABBV,2020,69.95772610045917,90.46479807819257,49.78643402127916,88.80717468261719,2390710600.0
28,ABBV,2021,88.83202695521763,118.84584612383408,84.38130641616449,117.60379028320312,1718548300.0
29,ABBV,2022,117.61247579014677,154.37486537668906,111.40222354931299,145.83773803710938,1623063800.0
30,ABBV,2023,146.22579920472648,151.70340787504472,120.39996555033765,145.49526977539062,1375884500.0
31,ABBV,2024,145.42957467706387,200.62130160073295,145.30753247900677,172.93429565429688,1401514100.0
32,ABBV,2025,173.86855756997133,214.80250132110282,161.48989424460353,210.39999389648438,1089808027.0
33,ABNB,2021,150.99000549316406,219.94000244140625,129.7100067138672,166.49000549316406,1641238300.0
34,ABNB,2022,165.2969970703125,191.72999572753906,81.91000366210938,85.5,1618238000.0
35,ABNB,2023,87.38500213623047,154.9499969482422,84.30000305175781,136.13999938964844,1545426800.0
36,ABNB,2024,134.42999267578125,170.10000610351562,110.37999725341797,131.41000366210938,1136796500.0
